timme,kurs
10.0,1048.0
11.0,1050.75
12.0,1026.25
13.0,1023.75
14.0,1023.25
15.0,1022.75
16.0,1034.5
17.0,1040.0
10.0,1053.5
11.0,1061.25
12.0,1059.75
13.0,1059.75
14.0,1060.5
15.0,1062.25
16.0,1070.0
17.0,1077.0
10.0,1071.75
11.0,1070.25
12.0,1073.5
13.0,1069.0
14.0,1065.5
15.0,1071.75
16.0,1074.75
17.0,1077.5
10.0,1087.0
11.0,1085.75
12.0,1088.75
13.0,1093.5
14.0,1091.5
15.0,1097.25
16.0,1097.75
17.0,1103.75
10.0,1111.75
11.0,1107.0
12.0,1110.0
13.0,1114.75
14.0,1116.25
15.0,1116.75
16.0,1118.0
17.0,1115.5
10.0,1117.25
11.0,1121.75
12.0,1124.0
13.0,1118.25
14.0,1125.75
15.0,1126.75
16.0,1126.5
17.0,1133.5
10.0,1133.75
11.0,1132.75
12.0,1132.75
13.0,1132.5
14.0,1132.5
15.0,1132.0
16.0,1128.75
17.0,1129.25
10.0,1134.25
11.0,1130.75
12.0,1130.0
13.0,1132.5
14.0,1124.0
15.0,1121.75
16.0,1127.0
17.0,1128.0
10.0,1140.5
11.0,1144.0
12.0,1146.25
13.0,1150.75
14.0,1146.5
15.0,1149.75
16.0,1151.75
17.0,1150.0
10.0,1155.5
11.0,1160.75
12.0,1158.25
13.0,1159.75
14.0,1159.5
15.0,1164.0
16.0,1161.5
17.0,1161.5
10.0,1164.5
11.0,1156.25
12.0,1154.0
13.0,1156.75
14.0,1158.25
15.0,1160.25
16.0,1165.75
17.0,1168.75
10.0,1184.0
11.0,1180.25
12.0,1177.5
13.0,1179.5
14.0,1178.75
15.0,1174.0
16.0,1175.5
17.0,1172.0
10.0,1177.75
11.0,1178.25
12.0,1174.0
13.0,1176.25
14.0,1174.25
15.0,1174.0
16.0,1175.5
17.0,1170.25
10.0,1182.0
11.0,1181.25
12.0,1180.25
13.0,1181.0
14.0,1183.75
15.0,1183.75
16.0,1182.5
17.0,1184.25
10.0,1179.75
11.0,1180.0
12.0,1181.0
13.0,1183.5
14.0,1181.0
15.0,1191.0
16.0,1191.5
17.0,1187.75
10.0,1191.0
11.0,1192.75
12.0,1187.75
13.0,1188.25
14.0,1188.5
15.0,1189.25
16.0,1179.0
17.0,1181.5
10.0,1184.75
11.0,1187.25
12.0,1186.5
13.0,1187.0
14.0,1187.0
15.0,1187.75
16.0,1186.5
17.0,1188.25
10.0,1192.25
11.0,1194.5
12.0,1193.75
13.0,1194.0
14.0,1194.25
15.0,1195.0
16.0,1192.0
17.0,1195.75
10.0,1191.75
11.0,1187.75
12.0,1188.75
13.0,1186.5
14.0,1186.0
15.0,1184.0
16.0,1182.75
17.0,1182.0
10.0,1190.25
11.0,1193.5
12.0,1193.5
13.0,1192.25
14.0,1188.5
15.0,1185.75
16.0,1192.75
17.0,1193.25
10.0,1187.5
11.0,1188.75
12.0,1185.75
13.0,1183.75
14.0,1186.5
15.0,1184.75
16.0,1189.75
17.0,1187.0
10.0,1182.75
11.0,1183.25
12.0,1183.25
13.0,1184.25
14.0,1187.75
15.0,1187.75
16.0,1186.25
17.0,1190.75
10.0,1193.25
